Year,Age,Male,Female
2011,0,237248,223022
2011,1,255119,238759
2011,2,266784,250419
2011,3,258202,243239
2011,4,256186,241582
2011,5,250308,237472
2011,6,248710,234827
2011,7,243313,231832
2011,8,234324,222352
2011,9,232088,221129
2011,10,233285,219746
2011,11,226466,215058
2011,12,221042,207440
2011,13,222894,211176
2011,14,220772,209384
2011,15,222445,210240
2011,16,224881,211875
2011,17,233559,219333
2011,18,242671,228844
2011,19,244171,229885
2011,20,248226,236701
2011,21,256480,246519
2011,22,264332,256624
2011,23,273382,266318
2011,24,283938,278737
2011,25,298445,292158
2011,26,313709,306590
2011,27,328248,318996
2011,28,351527,339012
2011,29,370710,354872
2011,30,391761,373252
2011,31,403967,383888
2011,32,424163,399281
2011,33,431414,403134
2011,34,437597,410955
2011,35,435384,407015
2011,36,431128,404481
2011,37,419659,393659
2011,38,417414,392173
2011,39,408706,386174
2011,40,403978,381755
2011,41,396688,379028
2011,42,393170,376836
2011,43,392268,379756
2011,44,380904,369062
2011,45,376238,368172
2011,46,379720,373250
2011,47,360778,355246
2011,48,347530,344700
2011,49,337574,337313
2011,50,339242,339407
2011,51,328532,330279
2011,52,320204,323468
2011,53,310799,315736
2011,54,288999,294768
2011,55,279477,286250
2011,56,264506,274284
2011,57,265048,273264
2011,58,263617,271584
2011,59,244584,255200
2011,60,238687,250087
2011,61,245380,261256
2011,62,256243,273365
2011,63,233573,250468
2011,64,221176,240676
2011,65,230020,251498
2011,66,218079,239930
2011,67,213633,236039
2011,68,183744,203836
2011,69,167982,187973
2011,70,202526,231138
2011,71,132157,156622
2011,72,148458,176248
2011,73,162625,196607
2011,74,171877,215882
2011,75,164251,206579
2011,76,157786,203431
2011,77,155650,205906
2011,78,147742,200485
2011,79,134585,186174
2011,80,126610,184592
2011,81,112323,168414
2011,82,102768,161214
2011,83,88599,144156
2011,84,80479,137228
2011,85,68693,122542
2011,86,59506,111920
2011,87,51239,98630
2011,88,42050,88917
2011,89,34120,71648
2011,90,25077,60374
2011,91,17420,44600
2011,92,13465,37526
2011,93,9997,29248
2011,94,7700,22693
2011,95,5669,17939
2011,96,4178,13826
2011,97,2966,9960
2011,98,2154,7231
2011,99,1349,4801
2011,100,2137,8136
2012,0,221349,207706
2012,1,247967,233246
2012,2,253811,237599
2012,3,268250,251993
2012,4,258575,243363
2012,5,256405,241826
2012,6,250297,237607
2012,7,248708,234715
2012,8,243245,231836
2012,9,234457,222372
2012,10,231992,221058
2012,11,233481,219754
2012,12,226757,215301
2012,13,221341,207622
2012,14,223280,211431
2012,15,221268,209635
2012,16,221996,209365
2012,17,224610,210963
2012,18,234330,219892
2012,19,242646,229719
2012,20,244128,231504
2012,21,248751,238713
2012,22,256989,248813
2012,23,264988,259214
2012,24,273754,268739
2012,25,283992,280536
2012,26,298242,293396
2012,27,312818,307394
2012,28,327098,319225
2012,29,349894,338870
2012,30,368676,354249
2012,31,389538,372270
2012,32,401655,382970
2012,33,421718,398200
2012,34,428724,402129
2012,35,435232,409992
2012,36,432979,405986
2012,37,428472,403640
2012,38,417250,392844
2012,39,415025,391336
2012,40,406630,385486
2012,41,401467,380874
2012,42,394351,378389
2012,43,390765,376082
2012,44,390188,378967
2012,45,378889,368506
2012,46,374038,367413
2012,47,377478,372425
2012,48,358800,354478
2012,49,345414,343929
2012,50,335536,336544
2012,51,336598,338388
2012,52,326204,329353
2012,53,317795,322399
2012,54,308469,314990
2012,55,286835,294078
2012,56,277380,285417
2012,57,262511,273356
2012,58,262913,272398
2012,59,261304,270654
2012,60,242645,254374
2012,61,236253,249162
2012,62,243111,260416
2012,63,253699,272285
2012,64,231053,249543
2012,65,218888,239779
2012,66,227289,250344
2012,67,215215,238651
2012,68,210381,234547
2012,69,180752,202269
2012,70,164868,186357
2012,71,198264,228997
2012,72,129211,154905
2012,73,144632,174184
2012,74,158070,193902
2012,75,166468,212494
2012,76,158656,202857
2012,77,151747,199340
2012,78,148973,201235
2012,79,140864,195208
2012,80,127442,180569
2012,81,118839,178078
2012,82,104791,161586
2012,83,94980,153696
2012,84,81272,136151
2012,85,72842,128427
2012,86,61473,113757
2012,87,52526,102623
2012,88,44638,89412
2012,89,36107,79195
2012,90,28693,63043
2012,91,20590,52039
2012,92,14165,37875
2012,93,10733,31209
2012,94,7791,23724
2012,95,5929,17979
2012,96,4202,13899
2012,97,3119,10566
2012,98,2167,7473
2012,99,1559,5265
2012,100,2322,8954
